Year,Totals.Capital outlay,Totals.Revenue,Totals.Expenditure,Totals.General expenditure,Totals.General revenue,Totals.Insurance trust  revenue,Totals.Intergovernmental,Totals.License tax,Totals.Selective sales tax,Totals.Tax,Details.Correction.Correction Total,Details.Education.Education Total,Details.Financial Aid.Assistance and Subsidies,Details.Financial Aid.Cash and Securities Total,Details.Health.Health Total Expenditure,Details.Intergovernmental.Intergovernmental Expenditure,Details.Intergovernmental.Intergovernmental to Combined and Unallocable,Details.Natural Resources.Natural Resources Construction,Details.Utilities.Utilities Current Operation,Details.Welfare.Welfare Institution Total Expenditure,Details.Natural Resources.Parks.Parks Total Expenditure,Details.Transportation.Highways.Highways Total Expenditure,Totals. Debt at end of fiscal year,Details.Insurance benefits and repayments,Details.Interest on debt,Details.Interest on general debt,Details.Miscellaneous general revenue,Details.Other taxes,Details.Police protection,Compliance_Ratio,State_ALASKA,State_ARIZONA,State_ARKANSAS,State_CALIFORNIA,State_COLORADO,State_CONNECTICUT,State_DELAWARE,State_FLORIDA,State_GEORGIA,State_HAWAII,State_IDAHO,State_ILLINOIS,State_INDIANA,State_IOWA,State_KANSAS,State_KENTUCKY,State_LOUISIANA,State_MAINE,State_MARYLAND,State_MASSACHUSETTS,State_MICHIGAN,State_MINNESOTA,State_MISSISSIPPI,State_MISSOURI,State_MONTANA,State_NEBRASKA,State_NEVADA,State_NEW HAMPSHIRE,State_NEW JERSEY,State_NEW MEXICO,State_NEW YORK,State_NORTH CAROLINA,State_NORTH DAKOTA,State_OHIO,State_OKLAHOMA,State_OREGON,State_PENNSYLVANIA,State_RHODE ISLAND,State_SOUTH CAROLINA,State_SOUTH DAKOTA,State_TENNESSEE,State_TEXAS,State_UNITED STATES,State_UTAH,State_VERMONT,State_VIRGINIA,State_WASHINGTON,State_WEST VIRGINIA,State_WISCONSIN,State_WYOMING,Compliance_Label
2014,1880255,0.02519444297434499,0.03251919631776386,27924214,24136181,4896240,9378560,386378,2419482,9296846,541838,11762054,1990251,35545443,421115,6515075,1482741,253936,17353630,7923779,22788,1562694,8907686,3566937,451887,451887,1242898,484803,124635,0.17588630381185044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2015,2011264,0.024141267016250873,0.033274492371837924,28710747,26154103,1706834,10034425,493883,2472137,9755439,555852,12235527,2051649,33224902,414116,6735925,1295634,266925,17833570,8204660,22088,1631748,9125828,3462691,364207,364207,1687595,455334,155814,0.14141450997438187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2016,1849423,0.026483936099375948,0.03233036449571427,27719883,25848641,4558211,9525667,575510,2565774,10355317,541525,10929674,2045443,34215584,412668,6672049,1186336,250813,17119224,8448333,18359,1653128,8656730,3541484,355087,355087,1143026,467139,170514,0.20684560360051185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2017,1984203,0.028982513312020685,0.03195783940357858,27524584,26770467,6360069,9949247,528539,2592411,10417084,553944,11436927,863799,52426687,551627,6974439,1554900,295316,17641478,7323358,22814,1659619,8793477,3383128,389784,389784,1363858,496595,171607,0.26795394223035685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2018,2396797,0.03005120970596527,0.03354275257193223,28862374,28259466,6024841,10303451,521990,2747974,11055577,595676,12016743,936985,54148706,528982,7049923,1655450,270436,18423559,7457270,24709,2017229,9856082,3505303,395811,395811,1519862,508464,178415,0.2602122153930373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2019,2454561,0.030830874655976618,0.03538658586018162,30621284,30197479,4912199,11279007,555980,2706611,11576632,672347,12596861,1011055,55988219,573886,7603784,1865249,269276,19518533,8049909,31113,1970758,10097887,3447907,384485,384485,1660108,522062,200242,0.24287662143468047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1992,389682,0.004178117599939177,0.00397431936763909,4788127,5342507,958318,773106,80704,101286,1602937,135804,1200990,106839,24529002,170885,1048860,1160277,236426,2846879,507655,16829,547162,4941602,390551,472114,449430,2689036,1220922,52292,0.35046275831245177,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1993,428896,0.005120180910609353,0.004155351274928756,4933907,6159665,1170688,904620,62951,99239,2227283,135224,1266638,135960,26903529,173336,1086346,1184451,232631,2919195,563876,15033,586378,4426963,427892,424719,403214,2759550,1192833,53474,0.44542587721543137,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1994,502363,0.004064825090345553,0.004509168203659329,5256168,5279241,895989,919487,73785,99654,1240275,142174,1278065,143001,26396414,169672,1246725,1378280,347771,3057576,633407,16039,564753,3585262,449398,352454,330229,2850626,890766,54946,0.27242989782325444,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1995,410937,0.005970190972524093,0.004344937024116142,5047423,7358377,905812,980048,75078,101039,1922463,146625,1257989,146697,28233430,144182,1095556,1301671,241582,3148468,642672,14661,579041,3232262,503961,293414,275631,4177013,1218341,55290,0.5221727115428724,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1996,447790,0.00593867025694932,0.004377753318347021,5104670,6818956,1417983,1017117,78896,99124,1519082,150026,1235738,175247,31309966,159218,1057577,1290207,267104,3193946,712735,14849,622849,3176601,504055,250887,239608,3988383,1014792,53161,0.5133830111086057,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1997,439775,0.0070217126117389115,0.004477867302975427,5159684,7424923,1992573,1042225,77924,96014,1619110,152126,1198832,176749,34320002,159454,1015071,1366745,288928,3309084,742419,15406,589804,3290599,538748,243028,226689,4463181,1113835,56722,0.6273166614902466,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1998,382310,0.006656778092860835,0.004564803718273864,5230194,7973315,1044058,1079799,94334,116803,1186237,158809,1207913,161433,41008373,161108,983153,1457572,264689,3486538,758931,16992,549996,3799708,548390,241349,224744,5401677,699342,57963,0.5702775728570709,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1999,565699,0.005078924391331664,0.0049281815201505045,5571932,5940989,1346244,1222794,84868,132004,905135,153161,1325244,171243,43253920,159419,1028890,1678069,257384,3597095,790010,13229,577527,3910581,540189,237443,217867,3499070,476452,61190,0.342282927583325,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2000,591147,0.006241107167734861,0.0054350305793116355,5972185,7330352,1228836,1201549,91661,137735,1423287,173624,1319094,170655,47024485,150313,1026962,1847481,250331,3990109,914855,9055,639941,4150498,574158,258123,248106,4378418,755453,63311,0.40915592915789223,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2001,665886,0.0040488787359327875,0.005931379587520755,6413598,6043307,117353,1289816,73417,134637,1428698,172610,1443738,151450,40923672,162273,986921,1981919,254906,4395287,1022604,9648,649746,4507108,599117,273339,263801,2973731,820202,71787,0.14568989100793417,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2002,750832,0.002982151986841727,0.006287307512237167,6702256,5422566,-421149,1556466,74119,142050,1089504,173844,1566815,157835,39862552,160168,1055596,1962089,240427,4510069,1150533,9625,687407,5307941,646906,281231,275884,2438871,604062,77758,0.023389619638711556,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2003,934820,0.004723679976739947,0.007061774856386709,7111497,6098669,809970,1997175,70107,152132,1120133,182046,1693672,149123,42721407,168955,1091391,1924229,256006,4733293,1312794,9657,810807,5829798,947676,265237,256233,2631794,690819,83961,0.13193100813133252,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2004,886846,0.0064858202314812185,0.007026986504171099,6834832,6630141,2207887,2193578,83738,172876,1343191,176642,1707847,206582,45325821,118307,1049706,1515060,247000,4529620,1471607,9527,828835,5688414,1165261,251225,242443,2715855,747013,61681,0.2822250989391889,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2012,1295382,0.012089669143097332,0.010947644569257921,10262809,14324470,642566,2866427,135055,248432,7049398,312646,2595207,186508,69293234,330057,1897331,2344023,318248,6762269,2018001,20181,1071272,5909456,1300476,287494,282462,3806254,6002767,146284,0.3960601866906951,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2013,1460784,0.01139856052248662,0.01147018931438927,10707194,12280315,1929995,2754412,135720,249586,5132811,335234,2806879,192835,77825747,329296,2032061,2392493,331740,6962794,2084000,29247,1152768,6218363,1298470,267684,263066,3769295,4116564,166917,0.3260277403955003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2014,1432239,0.010049774232451975,0.012236533632148407,11484542,10436362,2297628,2810194,141947,257696,3392869,336833,2787377,194111,82726274,308791,2059333,3040004,358952,7772455,2106052,24164,1280403,6048619,1213482,254537,250410,3605694,2584288,163869,0.21518822688825046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2015,1510811,0.006042737882317115,0.01232292614286886,11580917,7662076,688506,2642995,115886,255971,1363350,340726,2703274,196622,81597312,283698,2036112,3167319,375310,7747540,2113211,23949,1271514,5727891,1261313,253972,250304,3000064,763641,161965,0.0018416503893565195,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2016,1505040,0.005629173700294335,0.01162669381780878,10797248,7483408,412879,2853202,120081,260846,896921,332443,2787912,155125,78217287,230276,2038078,2174157,479705,7146868,2372655,15045,1290503,5953933,1329941,184886,181709,3032500,448537,140154,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2017,1175827,0.008415526536905379,0.010486671976431893,9799553,8364456,2580346,3286785,139054,263120,1208929,316353,2524056,158721,90683629,229041,1829640,1385771,405104,6578211,2724651,15374,1143967,5921713,1358157,200904,198252,3120238,718980,142360,0.204994994700484,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2018,1148486,0.007813218280579706,0.012527209163088263,11678671,8166711,2116310,3457365,153636,252970,1656352,435826,2575850,156646,94389132,273090,1852209,2238657,564528,8437883,2829643,23286,1325235,5889417,1391996,208821,206450,2342903,1053425,185933,0.08735630572139369,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2019,1217805,0.00797177697625957,0.01072749461390414,9977079,8700223,1756725,3725035,159757,278823,1780911,330783,2505580,154935,95757697,213255,1805758,1316614,433478,6724690,2933004,15228,1092861,6060930,1418749,203120,201374,2475825,1009811,157952,0.1671033168814865,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1992,698704,0.007124885442530556,0.00811107018303956,8235841,7975484,1559241,2110356,279700,693563,4826755,343958,2929886,347934,13309589,360340,2996879,992955,148651,4027781,1811875,22436,954360,2848842,831185,193298,186950,484006,314008,111084,0.2547292273520104,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1993,565627,0.008305770248164795,0.008850935502680408,8782381,8808186,2018120,2425897,297468,736103,5281816,345378,3016961,398047,15550883,459287,3219572,1004776,142141,4410129,2159415,19597,920713,3052565,977808,211542,205281,523782,366993,99278,0.2909958987549547,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1994,622055,0.009133078667911581,0.009647498297161317,9529970,9706807,2023498,2829890,321227,775008,5656858,383997,3306759,402381,16737885,467729,3577730,1131305,142034,4760933,2318661,28868,1053985,3170472,969074,190138,185615,550836,354458,98449,0.29604108101203375,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1995,622500,0.009905216924016289,0.010336954971330116,10072094,10509675,2064496,3026512,343607,827935,6223489,436779,3601018,430043,18430585,489489,3992499,1288647,159104,4866267,2468116,25992,925358,3037066,1066842,184301,180062,640359,379861,109774,0.30328494113010807,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1996,812062,0.00990603768553762,0.011129323776847326,10817960,10866578,1706299,3104914,391385,937787,6409395,499420,3787629,421670,21215501,543341,4255135,1326066,169167,5168574,2604854,29473,1143426,2936004,1055586,185117,181013,685870,417523,120135,0.2599618423513179,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1997,768110,0.01090969375585254,0.01168996230617415,11266376,11499078,2168130,3237414,437200,948216,6833806,564150,4033411,354768,25614579,558780,4528382,1365549,167453,5480384,2688434,43764,1167477,2741940,1124193,162844,159096,713597,323852,132094,0.2873518867497844,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1998,888544,0.013551229711341865,0.012669298579633045,12069852,11813762,4748183,3329995,233167,958092,6949370,717458,4392711,370625,31570957,656826,5023261,1491088,155794,5660035,2648198,47853,1192360,2806922,1230712,154790,151061,788771,316643,134753,0.3754021734600147,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1999,1134910,0.012216251957013534,0.013692905454623532,13127188,13077480,2022859,3662296,246472,985424,7542735,740342,4735867,350900,35724215,737725,5944003,1793109,151006,5569277,2461064,51377,1630806,2725113,1125216,154051,150322,1095181,357180,151087,0.26031657432157773,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2000,1206313,0.013307135417695664,0.015887434413253,15025421,14258579,2034986,4120073,260188,1010854,8100737,719690,5225930,564832,35190012,1028977,5940651,2098259,161003,7175727,3038187,49298,1825561,3101233,1264551,163841,160112,1204621,381944,158048,0.22356874313654662,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2001,1016317,0.01255169390042356,0.016778396424657796,15528201,14980264,487899,4449959,257881,1038738,8360376,760323,5689018,625486,37541254,954431,6439144,2144491,175688,7276644,3222661,57828,1584079,3710911,1589779,195778,192049,1289849,393413,161140,0.16359412895382552,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2002,1014488,0.014204942499385469,0.018354623275345226,16734370,15860392,1414316,5259991,270631,1068529,8477321,734167,6326736,327899,32651826,913302,6902301,1867790,203588,8327312,3998137,62661,1679641,4347558,1845124,189506,185777,1198080,417555,166831,0.17985208512394968,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
